"commande_id","declinaison_meuble_id","quantite_lc","prix_lc"
1,1,2,819
1,2,1,419
2,3,3,799
3,1,1,819
4,1,11,819
4,2,5,419
4,3,4,799
4,4,12,976
4,5,6,1427
4,6,6,1725
4,7,1,700
4,8,2,345
4,9,2,518
4,10,6,159
4,11,9,159
4,12,13,226
4,13,13,56
4,14,12,57
4,15,2,58
4,16,2,62
4,17,5,65
4,18,3,66
4,19,25,62
4,20,16,65
4,21,11,65
4,22,7,65
4,23,7,895
4,24,4,950
4,25,2,1450
4,26,1,425
4,27,5,2250
4,28,6,1400
4,29,21,750
4,30,2,750
4,31,5,75
4,32,6,75
4,33,7,72
4,34,16,73
4,35,23,150
4,36,2,145
4,38,5,145
4,39,6,155
5,1,2,819
5,2,1,419
5,3,3,799
5,25,2,1445
5,34,11,75
